Question,Answer,Label
em cám ơn ad nhiều ạ,Rất vui được hỗ trợ cho em. em cần trợ giúp thêm điều gì không?,thanks
yêu add quá đi,Rất vui được hỗ trợ cho em. em cần trợ giúp thêm điều gì không?,thanks
vâng e cám ơn nhé,Rất vui được hỗ trợ cho em. em cần trợ giúp thêm điều gì không?,thanks
dạ em cám ơn ạ ,Rất vui được hỗ trợ cho em. em cần trợ giúp thêm điều gì không?,thanks
vâng em cám ơn ạ,Rất vui được hỗ trợ cho em. em cần trợ giúp thêm điều gì không?,thanks
thông tin tuyệt vời ạ,Rất vui được hỗ trợ cho em. em cần trợ giúp thêm điều gì không?,thanks
à oke bạn,Rất vui được hỗ trợ cho em. em cần trợ giúp thêm điều gì không?,thanks
da vâng em cảm ơn ạ ,Rất vui được hỗ trợ cho em. em cần trợ giúp thêm điều gì không?,thanks
da vâng ạ,Rất vui được hỗ trợ cho em. em cần trợ giúp thêm điều gì không?,thanks
da cô,Rất vui được hỗ trợ cho em. em cần trợ giúp thêm điều gì không?,thanks
dạ tl e vs ạ,Rất vui được hỗ trợ cho em. em cần trợ giúp thêm điều gì không?,thanks
"à , vâng ạ",Rất vui được hỗ trợ cho em. em cần trợ giúp thêm điều gì không?,thanks
à vâng,Rất vui được hỗ trợ cho em. em cần trợ giúp thêm điều gì không?,thanks
vâng ạ!,Rất vui được hỗ trợ cho em. em cần trợ giúp thêm điều gì không?,thanks
vâng đúng r ạ,Rất vui được hỗ trợ cho em. em cần trợ giúp thêm điều gì không?,thanks
ạ vâng,Rất vui được hỗ trợ cho em. em cần trợ giúp thêm điều gì không?,thanks
vâng ạ ,Rất vui được hỗ trợ cho em. em cần trợ giúp thêm điều gì không?,thanks
dạ vâng ạ,Rất vui được hỗ trợ cho em. em cần trợ giúp thêm điều gì không?,thanks
dạ vâng ad,Rất vui được hỗ trợ cho em. em cần trợ giúp thêm điều gì không?,thanks
dạ r ạ,Rất vui được hỗ trợ cho em. em cần trợ giúp thêm điều gì không?,thanks
dạ dạ !,Rất vui được hỗ trợ cho em. em cần trợ giúp thêm điều gì không?,thanks
dạ đc ạ,Rất vui được hỗ trợ cho em. em cần trợ giúp thêm điều gì không?,thanks
à dạ,Rất vui được hỗ trợ cho em. em cần trợ giúp thêm điều gì không?,thanks
dạ vâng ạ!,Rất vui được hỗ trợ cho em. em cần trợ giúp thêm điều gì không?,thanks
dạ vâng,Rất vui được hỗ trợ cho em. em cần trợ giúp thêm điều gì không?,thanks
dạ vâng ạ ,Rất vui được hỗ trợ cho em. em cần trợ giúp thêm điều gì không?,thanks
dạ vâng,Rất vui được hỗ trợ cho em. em cần trợ giúp thêm điều gì không?,thanks
dạ vâng ạ,Rất vui được hỗ trợ cho em. em cần trợ giúp thêm điều gì không?,thanks
dạ vâng e nhận đc r ạ,Rất vui được hỗ trợ cho em. em cần trợ giúp thêm điều gì không?,thanks
ok chị,Rất vui được hỗ trợ cho em. em cần trợ giúp thêm điều gì không?,thanks
ok ad,Rất vui được hỗ trợ cho em. em cần trợ giúp thêm điều gì không?,thanks
"ok ad , ad ơi",Rất vui được hỗ trợ cho em. em cần trợ giúp thêm điều gì không?,thanks
ok anh chị,Rất vui được hỗ trợ cho em. em cần trợ giúp thêm điều gì không?,thanks
dạ ok em cảm ơn ad,Rất vui được hỗ trợ cho em. em cần trợ giúp thêm điều gì không?,thanks
ok em cam ơn nha ))),Rất vui được hỗ trợ cho em. em cần trợ giúp thêm điều gì không?,thanks
ok vâng ạ,Rất vui được hỗ trợ cho em. em cần trợ giúp thêm điều gì không?,thanks
ok ạ vậy đắng kí lại từ đầu ạ,Rất vui được hỗ trợ cho em. em cần trợ giúp thêm điều gì không?,thanks
xong nộp học bạ là ok à a,Rất vui được hỗ trợ cho em. em cần trợ giúp thêm điều gì không?,thanks
ok ngon ngay,Rất vui được hỗ trợ cho em. em cần trợ giúp thêm điều gì không?,thanks
ok cô,Rất vui được hỗ trợ cho em. em cần trợ giúp thêm điều gì không?,thanks
dạ ok ad,Rất vui được hỗ trợ cho em. em cần trợ giúp thêm điều gì không?,thanks
"vang c , e cảm on",Rất vui được hỗ trợ cho em. em cần trợ giúp thêm điều gì không?,thanks
vang em cam on a,Rất vui được hỗ trợ cho em. em cần trợ giúp thêm điều gì không?,thanks
vang a,Rất vui được hỗ trợ cho em. em cần trợ giúp thêm điều gì không?,thanks
vang ạ,Rất vui được hỗ trợ cho em. em cần trợ giúp thêm điều gì không?,thanks
vang a còn bọn em ạ,Rất vui được hỗ trợ cho em. em cần trợ giúp thêm điều gì không?,thanks
chị ơi,Rất vui được hỗ trợ cho em. em cần trợ giúp thêm điều gì không?,thanks
ad ơi cho em,Rất vui được hỗ trợ cho em. em cần trợ giúp thêm điều gì không?,thanks
dạ ad ơi 3,Rất vui được hỗ trợ cho em. em cần trợ giúp thêm điều gì không?,thanks
ad ơi?,Rất vui được hỗ trợ cho em. em cần trợ giúp thêm điều gì không?,thanks
ad ơi e hỏi,Rất vui được hỗ trợ cho em. em cần trợ giúp thêm điều gì không?,thanks
ad ơi em hỏi,Rất vui được hỗ trợ cho em. em cần trợ giúp thêm điều gì không?,thanks
vg ah,Rất vui được hỗ trợ cho em. em cần trợ giúp thêm điều gì không?,thanks
vg ,Rất vui được hỗ trợ cho em. em cần trợ giúp thêm điều gì không?,thanks
vg e cảm ơn ạ,Rất vui được hỗ trợ cho em. em cần trợ giúp thêm điều gì không?,thanks
vg em cảm ơn,Rất vui được hỗ trợ cho em. em cần trợ giúp thêm điều gì không?,thanks
vg ạ,Rất vui được hỗ trợ cho em. em cần trợ giúp thêm điều gì không?,thanks
vg e cảm ad nhiều ạ,Rất vui được hỗ trợ cho em. em cần trợ giúp thêm điều gì không?,thanks
vg ạ tks ad,Rất vui được hỗ trợ cho em. em cần trợ giúp thêm điều gì không?,thanks
vâg ạ,Rất vui được hỗ trợ cho em. em cần trợ giúp thêm điều gì không?,thanks
vâg em cảm ơn ạ,Rất vui được hỗ trợ cho em. em cần trợ giúp thêm điều gì không?,thanks
dạ vâg,Rất vui được hỗ trợ cho em. em cần trợ giúp thêm điều gì không?,thanks
vâg e cảm ơn ạ,Rất vui được hỗ trợ cho em. em cần trợ giúp thêm điều gì không?,thanks
vâg ạk,Rất vui được hỗ trợ cho em. em cần trợ giúp thêm điều gì không?,thanks
dạ vâg ạ,Rất vui được hỗ trợ cho em. em cần trợ giúp thêm điều gì không?,thanks
à vâg em cảm ơn,Rất vui được hỗ trợ cho em. em cần trợ giúp thêm điều gì không?,thanks
vâg em cảm ơn ạ,Rất vui được hỗ trợ cho em. em cần trợ giúp thêm điều gì không?,thanks
vâgem cám ơn anh nhiều ạ,Rất vui được hỗ trợ cho em. em cần trợ giúp thêm điều gì không?,thanks
dạ vâng e cám ơn ạ,Rất vui được hỗ trợ cho em. em cần trợ giúp thêm điều gì không?,thanks
e cám ơn thầy,Rất vui được hỗ trợ cho em. em cần trợ giúp thêm điều gì không?,thanks
dạ e cám ơn,Rất vui được hỗ trợ cho em. em cần trợ giúp thêm điều gì không?,thanks
dạ e cám ơn ad nhiều nhé ^^,Rất vui được hỗ trợ cho em. em cần trợ giúp thêm điều gì không?,thanks
dạ vâng e cảm ơn thầy cô ạ,Rất vui được hỗ trợ cho em. em cần trợ giúp thêm điều gì không?,thanks
vâng ạ cảm ơn admin,Rất vui được hỗ trợ cho em. em cần trợ giúp thêm điều gì không?,thanks
vâng em cảm các thầy cô ạ,Rất vui được hỗ trợ cho em. em cần trợ giúp thêm điều gì không?,thanks
"dạ vâng ạ , e cảm ơn thầy cô!",Rất vui được hỗ trợ cho em. em cần trợ giúp thêm điều gì không?,thanks
vângem cảm ơn thầy cô ạ,Rất vui được hỗ trợ cho em. em cần trợ giúp thêm điều gì không?,thanks
dạ vâng e cảm ơn thầy cô ạ!,Rất vui được hỗ trợ cho em. em cần trợ giúp thêm điều gì không?,thanks
dạ em cảm ơn thầy cô ạ!,Rất vui được hỗ trợ cho em. em cần trợ giúp thêm điều gì không?,thanks
dạ em cảm ơn ạ,Rất vui được hỗ trợ cho em. em cần trợ giúp thêm điều gì không?,thanks
vâng em cảm ơn ad,Rất vui được hỗ trợ cho em. em cần trợ giúp thêm điều gì không?,thanks
vâng ạ! em cảm ơn!,Rất vui được hỗ trợ cho em. em cần trợ giúp thêm điều gì không?,thanks
vâng ạ em cảm ơn,Rất vui được hỗ trợ cho em. em cần trợ giúp thêm điều gì không?,thanks
